Date,Month,Pond,Site,Group,Species,TC,PC,MeanL,SDL,SL1,SL2,SL3,SL4,SL5,SL6,SL7,SL8,SL9,SL10,SL11,SL12,SL13,SL14,SL15,SL16,SL17,SL18,SL19,SL20,SL21,SL22,SL23,SL24,SL25,SL26,SL27,SL28,SL29,SL30,Notes
1/24/2023,4,Tule Red,TR2,Inland Silverside,Inland Silverside,12,0,52.08333333,10.04949871,54,58,58,38,75,56,46,47,52,37,54,50,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR2,Non-native,Yellowfin Goby,1,0,104,#DIV/0!,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR2,Threespine Stickleback,Threespine Stickleback,2,0,28,2.828427125,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR2,Non-native,Mosquitofish,1,0,23,#DIV/0!,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR2,Non-native,Rainwater Killifish,1,0,27,#DIV/0!,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR2,Native,Pacific Staghorn Sculpin,2,0,26,1.414213562,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR2,Non-native,Paliamon Shrimp,2,2,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2023,4,Denverton,DPOUT,Threespine Stickleback,Threespine Stickleback,1,0,23,#DIV/0!,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2023,4,Denverton,DP5,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2023,4,Denverton,DP3,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR4,Inland Silverside,Inland Silverside,59,29,67.86666667,11.28848462,79,76,67,88,60,71,62,62,47,53,51,75,74,61,52,51,62,87,72,75,76,74,59,73,66,58,90,75,67,73,
2/14/2023,5,Tule Red,TR4,Listed,Chinook Salmon,1,0,53,#DIV/0!,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR4,Native,Pacific Staghorn Sculpin,19,0,30.21052632,4.540912138,26,28,32,36,33,31,28,30,23,33,29,30,25,27,28,25,34,42,34,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR3,Inland Silverside,Inland Silverside,32,2,57.6,11.53585116,59,50,84,62,49,67,48,71,60,45,57,49,36,55,43,66,55,55,65,41,68,44,57,43,70,57,64,76,58,74,
2/14/2023,5,Tule Red,TR3,Listed,Chinook Salmon,1,0,39,#DIV/0!,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR3,Native,Pacific Staghorn Sculpin,53,23,30.8,4.634205657,34,31,25,34,24,35,36,35,32,24,24,36,32,25,22,32,29,36,33,38,28,29,30,36,27,37,27,31,35,27,
2/14/2023,5,Tule Red,TR3,Non-native,Paliamon Shrimp,1,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR3,Non-native,Yellowfin Goby,1,0,134,#DIV/0!,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR2,Inland Silverside,Inland Silverside,1,0,58,#DIV/0!,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR2,Listed,Splittail,5,0,58,10,64,42,68,56,60,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR2,Native,Pacific Staghorn Sculpin,11,0,30.72727273,5.021770785,42,32,24,26,36,31,26,30,32,30,29,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR2,Non-native,Paliamon Shrimp,1,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2023,5,Tule Red,TR2,Threespine Stickleback,Threespine Stickleback,4,1,20.66666667,2.081665999,19,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Three Spine Stickleback fell through net and could not be found, added as PC"
2/15/2023,5,Denverton,DPOUT,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2023,5,Denverton,DP5,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2023,5,Denverton,DP3,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2023,6,Miramonte,MRM7,Threespine Stickleback,Threespine Stickleback,1,0,31,#DIV/0!,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2023,6,Miramonte,MRM5,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2023,6,Miramonte,MRM6,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2023,6,Denverton,DPOUT,Threespine Stickleback,Threespine Stickleback,7,0,24.28571429,3.903600292,20,30,23,22,25,21,29,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR4,Inland Silverside,Inland Silverside,142,112,66.36666667,10.34735793,64,73,66,64,69,72,67,64,59,62,71,51,73,79,60,84,82,75,77,74,73,63,46,61,70,61,80,59,43,49,
3/23/2023,6,Tule Red,TR4,Native,Pacific Staghorn Sculpin,12,0,32.75,12.98338099,23,28,32,34,64,45,23,44,35,19,24,22,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR4,Native,Sacramento Pikeminnow,1,0,79,#DIV/0!,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR4,Listed,Splittail,6,0,58.33333333,26.47766354,58,105,57,62,42,26,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR3,Inland Silverside,Inland Silverside,23,0,52.86956522,11.89080756,63,62,72,64,61,72,54,37,38,60,47,65,59,49,41,42,54,33,34,62,51,41,55,,,,,,,,
3/23/2023,6,Tule Red,TR3,Non-native,Common Carp,1,0,440,#DIV/0!,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR3,Native,Pacific Staghorn Sculpin,51,21,36.36666667,9.03816938,32,39,18,40,34,45,38,48,38,46,35,21,36,40,41,49,43,38,42,33,40,24,42,35,41,25,45,18,19,46,
3/23/2023,6,Tule Red,TR3,Native,Sacramento Pikeminnow,5,0,61.6,14.2933551,75,55,66,72,40,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR3,Listed,Chinook Salmon,1,0,71,#DIV/0!,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR2,Native,Pacific Staghorn Sculpin,1,0,20,#DIV/0!,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2023,6,Tule Red,TR2,Listed,Chinook Salmon,1,0,31,#DIV/0!,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2023,7,Tule Red,TR4,Inland Silverside,Inland Silverside,14,0,72.57142857,6.824326236,75,73,64,69,73,78,77,70,83,76,80,76,60,62,,,,,,,,,,,,,,,,,Very Windy
4/25/2023,7,Tule Red,TR3,Inland Silverside,Inland Silverside,10,0,71,9.177266599,82,73,68,79,78,69,74,60,52,75,,,,,,,,,,,,,,,,,,,,,Very Windy
4/25/2023,7,Tule Red,TR3,Native,Sacramento Pikeminnow,3,0,66,4.582575695,67,70,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Windy
4/25/2023,7,Tule Red,TR3,Threespine Stickleback,Threespine Stickleback,6,0,37.16666667,8.352644292,40,44,36,40,21,42,,,,,,,,,,,,,,,,,,,,,,,,,Very Windy
4/25/2023,7,Tule Red,TR3,Non-native,Mosquitofish,3,0,32.33333333,1.154700538,33,31,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Windy
4/25/2023,7,Tule Red,TR3,Native,Prickly Sculpin,3,0,27.33333333,2.516611478,25,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Windy
4/25/2023,7,Tule Red,TR3,Non-native,Exopaliamon Shrimp,11,11,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Windy
4/25/2023,7,Tule Red,TR2,Threespine Stickleback,Threespine Stickleback,2,0,37,5.656854249,41,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2023,7,Tule Red,TR2,Native,Prickly Sculpin,2,0,27.5,10.60660172,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2023,7,Tule Red,TR2,Native,Pacific Staghorn Sculpin,1,0,45,#DIV/0!,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2023,7,Tule Red,TR2,Non-native,Exopaliamon Shrimp,3,3,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,8,Miramonte,MRM5,Threespine Stickleback,Threespine Stickleback,2921,2891,31.36666667,4.649681734,33,40,31,23,27,27,30,38,30,32,32,34,30,31,32,30,36,29,30,31,32,31,30,30,24,36,28,29,28,47,
5/22/2023,8,Miramonte,MRM5,Listed,Splittail,7,0,59.28571429,3.251373336,60,58,65,59,54,60,59,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,8,Miramonte,MRM5,Native,Prickly Sculpin,3,0,38.33333333,2.081665999,36,40,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,8,Miramonte,MRM6,Threespine Stickleback,Threespine Stickleback,74,44,31.03333333,5.714369868,35,37,29,40,31,32,30,31,49,28,22,34,28,29,28,30,26,31,30,26,21,44,30,28,31,30,32,30,26,33,
5/22/2023,8,Miramonte,MRM6,Native,Prickly Sculpin,40,10,37.5,6.730015115,38,36,36,32,32,31,33,36,41,37,33,40,31,55,58,34,36,36,37,32,33,35,33,49,43,47,36,37,35,33,
5/22/2023,8,Miramonte,MRM6,Listed,Splittail,1,0,39,#DIV/0!,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,8,Miramonte,MRM6,Non-native,Paliamon Shrimp,4,4,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,8,Miramonte,MRM6,Native,California Bay Shrimp,1,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR4,Threespine Stickleback,Threespine Stickleback,109,79,34,8.00861605,40,27,28,27,30,43,20,36,25,31,32,38,37,32,33,39,37,44,29,49,29,28,25,33,22,40,50,45,45,26,
5/23/2023,8,Tule Red,TR4,Native,Prickly Sculpin,25,0,38,7.653975002,69,40,42,41,36,37,36,43,35,35,31,45,32,38,35,35,40,32,38,33,35,40,41,28,33,,,,,,
5/23/2023,8,Tule Red,TR4,Native,Sacramento Pikeminnow,6,0,86,12.42577965,95,77,99,97,70,78,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR4,Non-native,Rainwater Killifish,465,435,30.46666667,3.256117143,30,30,30,33,34,32,30,29,25,35,29,26,36,35,30,25,30,33,30,32,31,25,33,36,26,30,25,31,32,31,
5/23/2023,8,Tule Red,TR4,Inland Silverside,Inland Silverside,170,140,61.16666667,7.511294178,63,65,52,70,72,66,74,61,65,67,68,61,61,65,65,48,48,56,70,62,67,51,56,63,65,48,60,52,50,64,
5/23/2023,8,Tule Red,TR4,Native,Pacific Staghorn Sculpin,4,0,63.5,21.29945226,50,95,51,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR4,Non-native,Shimofuri Goby,1,0,40,#DIV/0!,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR4,Non-native,Mosquitofish,1,0,32,#DIV/0!,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR4,Listed,Splittail,1,0,31,#DIV/0!,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR4,Non-native,Yellowfin Goby,1,0,41,#DIV/0!,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR3,Non-native,Rainwater Killifish,82,52,29.63333333,3.274597457,26,32,29,28,28,35,32,26,38,31,33,25,29,25,29,25,29,27,35,34,28,29,30,28,32,32,31,29,26,28,
5/23/2023,8,Tule Red,TR3,Threespine Stickleback,Threespine Stickleback,160,130,33.06666667,8.106758923,30,34,42,22,52,43,24,25,42,37,21,37,32,44,33,31,31,26,22,34,45,49,30,28,32,32,31,29,26,28,
5/23/2023,8,Tule Red,TR3,Listed,Splittail,7,0,26.42857143,2.507132682,30,28,25,24,25,24,29,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR3,Inland Silverside,Inland Silverside,46,16,60.73333333,8.24593247,77,60,70,40,60,69,55,75,77,65,54,61,70,64,54,64,58,52,55,54,57,52,60,66,62,60,52,65,57,57,
5/23/2023,8,Tule Red,TR3,Native,Pacific Staghorn Sculpin,6,0,53.66666667,5.046450898,51,53,51,62,48,57,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR3,Native,Tule Perch,16,0,35.3125,3.026962174,38,34,37,40,33,34,32,36,40,36,40,36,33,32,33,31,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR3,Native,Prickly Sculpin,18,0,36,7.844068572,42,40,30,40,41,46,21,42,45,40,38,22,42,36,37,35,26,25,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR3,Native,Sacramento Pikeminnow,1,0,87,#DIV/0!,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR3,Non-native,Yellowfin Goby,3,0,30.66666667,10.69267662,43,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR2,Inland Silverside,Inland Silverside,2,0,57,11.3137085,65,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR2,Native,Starry Flounder,1,0,44,#DIV/0!,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR2,Non-native,Common Carp,1,0,470,#DIV/0!,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR2,Non-native,Yellowfin Goby,1,0,29,#DIV/0!,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR2,Listed,Splittail,1,0,30,#DIV/0!,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,8,Tule Red,TR2,Native,Prickly Sculpin,1,0,46,#DIV/0!,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DPOUT,Threespine Stickleback,Threespine Stickleback,59,29,27.5,6.926958829,40,29,22,28,35,19,23,27,22,23,23,24,25,21,24,24,24,25,25,29,35,45,48,31,22,27,27,29,28,21,
5/24/2023,8,Denverton,DPOUT,Non-native,Golden Shiner,21,0,24.85714286,3.718678721,25,30,24,21,22,25,23,23,27,31,20,25,25,28,27,28,16,22,22,29,29,,,,,,,,,,
5/24/2023,8,Denverton,DPOUT,Native,Tule Perch,10,0,21.7,4.473378042,33,20,19,20,25,18,19,20,23,20,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DPOUT,Listed,Splittail,24,0,19.75,3.626592604,31,29,19,18,20,18,17,16,19,17,20,17,18,19,18,19,19,20,18,23,18,18,24,19,,,,,,,
5/24/2023,8,Denverton,DPOUT,Native,Prickly Sculpin,1,0,26,#DIV/0!,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DPOUT,Non-native,Mosquitofish,11,0,22.27272727,10.58386422,35,41,14,19,14,16,16,39,14,17,20,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Threespine Stickleback,Threespine Stickleback,23,0,20.47826087,5.088932423,27,20,19,23,22,22,19,20,23,24,24,25,26,21,22,23,25,26,11,12,10,13,14,,,,,,,,
5/24/2023,8,Denverton,DP5,Native,Tule Perch,2,0,25,2.828427125,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Listed,Splittail,3,0,18.66666667,1.154700538,18,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Native,Prickly Sculpin,1,0,23,#DIV/0!,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Non-native,Bullfrog Tadpole,3,0,43,8.888194417,40,53,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,No legs
5/24/2023,8,Denverton,DP5,Threespine Stickleback,Threespine Stickleback,19,0,27.73684211,3.709478928,26,32,25,25,28,36,31,26,25,25,35,24,26,30,25,28,24,25,31,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Native,Tule Perch,27,0,22.51851852,2.190370014,23,20,21,22,23,20,21,22,22,23,24,26,20,21,25,21,24,26,20,22,23,29,20,23,24,22,21,,,,
5/24/2023,8,Denverton,DP5,Inland Silverside,Inland Silverside,1,0,67,#DIV/0!,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Non-native,Golden Shiner,1,0,29,#DIV/0!,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Listed,Splittail,20,0,30.95,3.531437757,34,26,33,34,35,28,31,30,30,32,35,22,29,30,32,32,26,30,35,35,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Native,Prickly Sculpin,3,0,33,5.291502622,39,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,8,Denverton,DP5,Non-native,Exopaliamon Shrimp,1,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2023,9,Tule Red,TR4,Non-native,Rainwater Killifish,644,614,32.43333333,3.710965423,32,35,35,30,31,35,30,36,34,30,37,27,31,31,35,34,30,34,24,34,34,25,33,34,37,26,30,40,36,33,
6/15/2023,9,Tule Red,TR4,Inland Silverside,Inland Silverside,683,653,27.63333333,8.434262363,68,27,25,25,38,29,31,24,25,27,25,27,23,28,21,26,21,25,25,25,31,30,26,22,24,29,30,20,27,25,
6/15/2023,9,Tule Red,TR4,Listed,Splittail,68,38,36.66666667,5.067362324,32,28,41,36,34,36,39,42,50,34,43,45,33,42,44,33,40,32,30,30,34,37,34,32,35,35,34,40,38,37,
